"state","period_start","period_end","duration"
"Active","2021-03-18 06:34:47+01","2021-03-18 06:34:48+01","00:00:01"
"Intermediate","2021-03-18 06:34:48+01","2021-03-18 06:34:51+01","00:00:03"
"Active","2021-03-18 06:34:51+01","2021-03-18 06:34:54+01","00:00:03"
"Intermediate","2021-03-18 06:34:54+01","2021-03-18 06:34:57+01","00:00:03"
"Active","2021-03-18 06:34:57+01","2021-03-18 06:34:58+01","00:00:01"
"Intermediate","2021-03-18 06:34:58+01","2021-03-18 06:34:59+01","00:00:01"
"Active","2021-03-18 06:34:59+01","2021-03-18 06:35:00+01","00:00:01"
"Intermediate","2021-03-18 06:35:00+01","2021-03-18 06:35:01+01","00:00:01"
"Active","2021-03-18 06:35:01+01","2021-03-18 06:35:02+01","00:00:01"
"Intermediate","2021-03-18 06:35:02+01","2021-03-18 06:35:04+01","00:00:02"
"Active","2021-03-18 06:35:04+01","2021-03-18 06:35:07+01","00:00:03"
"Intermediate","2021-03-18 06:35:07+01","2021-03-18 06:35:08+01","00:00:01"
"Active","2021-03-18 06:35:08+01","2021-03-18 06:35:10+01","00:00:02"
"Intermediate","2021-03-18 06:35:10+01","2021-03-18 06:35:12+01","00:00:02"
"Active","2021-03-18 06:35:12+01","2021-03-18 06:35:13+01","00:00:01"
"Intermediate","2021-03-18 06:35:13+01","2021-03-18 06:35:14+01","00:00:01"
"Active","2021-03-18 06:35:14+01","2021-03-18 06:35:18+01","00:00:04"
"Intermediate","2021-03-18 06:35:18+01","2021-03-18 06:35:19+01","00:00:01"
"Active","2021-03-18 06:35:19+01","2021-03-18 06:35:20+01","00:00:01"
"Intermediate","2021-03-18 06:35:20+01","2021-03-18 06:35:23+01","00:00:03"
"Active","2021-03-18 06:35:23+01","2021-03-18 06:35:30+01","00:00:07"
"Intermediate","2021-03-18 06:35:30+01","2021-03-18 06:35:31+01","00:00:01"
"Active","2021-03-18 06:35:31+01","2021-03-18 06:35:32+01","00:00:01"
"Intermediate","2021-03-18 06:35:32+01","2021-03-18 06:35:34+01","00:00:02"
"Active","2021-03-18 06:35:34+01","2021-03-18 06:35:35+01","00:00:01"
"Intermediate","2021-03-18 06:35:35+01","2021-03-18 06:35:38+01","00:00:03"
"Active","2021-03-18 06:35:38+01","2021-03-18 06:35:40+01","00:00:02"
"Intermediate","2021-03-18 06:35:40+01","2021-03-18 06:35:42+01","00:00:02"
"Active","2021-03-18 06:35:42+01","2021-03-18 06:35:44+01","00:00:02"
"Intermediate","2021-03-18 06:35:44+01","2021-03-18 06:35:48+01","00:00:04"
"Active","2021-03-18 06:35:48+01","2021-03-18 06:35:51+01","00:00:03"
"Intermediate","2021-03-18 06:35:51+01","2021-03-18 06:35:53+01","00:00:02"
"Active","2021-03-18 06:35:53+01","2021-03-18 06:35:54+01","00:00:01"
"Intermediate","2021-03-18 06:35:54+01","2021-03-18 06:35:57+01","00:00:03"
"Active","2021-03-18 06:35:57+01","2021-03-18 06:35:58+01","00:00:01"
"Intermediate","2021-03-18 06:35:58+01","2021-03-18 06:36:10+01","00:00:12"
"Active","2021-03-18 06:36:10+01","2021-03-18 06:36:11+01","00:00:01"
"Intermediate","2021-03-18 06:36:11+01","2021-03-18 06:36:17+01","00:00:06"
"Active","2021-03-18 06:36:17+01","2021-03-18 06:36:18+01","00:00:01"
"Intermediate","2021-03-18 06:36:18+01","2021-03-18 06:36:19+01","00:00:01"
"Active","2021-03-18 06:36:19+01","2021-03-18 06:36:20+01","00:00:01"
"Intermediate","2021-03-18 06:36:20+01","2021-03-18 06:36:21+01","00:00:01"
"Active","2021-03-18 06:36:21+01","2021-03-18 06:36:22+01","00:00:01"
"Intermediate","2021-03-18 06:36:22+01","2021-03-18 06:36:23+01","00:00:01"
"Active","2021-03-18 06:36:23+01","2021-03-18 06:36:24+01","00:00:01"
"Intermediate","2021-03-18 06:36:24+01","2021-03-18 06:36:25+01","00:00:01"
"Active","2021-03-18 06:36:25+01","2021-03-18 06:36:27+01","00:00:02"
"Intermediate","2021-03-18 06:36:27+01","2021-03-18 06:36:31+01","00:00:04"
"Active","2021-03-18 06:36:31+01","2021-03-18 06:36:32+01","00:00:01"
"Intermediate","2021-03-18 06:36:32+01","2021-03-18 06:36:33+01","00:00:01"
"Active","2021-03-18 06:36:33+01","2021-03-18 06:36:37+01","00:00:04"
"Intermediate","2021-03-18 06:36:37+01","2021-03-18 06:36:38+01","00:00:01"
"Active","2021-03-18 06:36:38+01","2021-03-18 06:36:39+01","00:00:01"
"Intermediate","2021-03-18 06:36:39+01","2021-03-18 06:36:40+01","00:00:01"
"Active","2021-03-18 06:36:40+01","2021-03-18 06:36:42+01","00:00:02"
"Intermediate","2021-03-18 06:36:42+01","2021-03-18 06:36:46+01","00:00:04"
"Active","2021-03-18 06:36:46+01","2021-03-18 06:36:48+01","00:00:02"
"Intermediate","2021-03-18 06:36:48+01","2021-03-18 06:36:49+01","00:00:01"
"Active","2021-03-18 06:36:49+01","2021-03-18 06:36:52+01","00:00:03"
"Intermediate","2021-03-18 06:36:52+01","2021-03-18 06:36:53+01","00:00:01"
"Active","2021-03-18 06:36:53+01","2021-03-18 06:36:54+01","00:00:01"
"Intermediate","2021-03-18 06:36:54+01","2021-03-18 06:36:55+01","00:00:01"
"Active","2021-03-18 06:36:55+01","2021-03-18 06:36:58+01","00:00:03"
"Intermediate","2021-03-18 06:36:58+01","2021-03-18 06:36:59+01","00:00:01"
"Active","2021-03-18 06:36:59+01","2021-03-18 06:37:01+01","00:00:02"
"Intermediate","2021-03-18 06:37:01+01","2021-03-18 06:37:02+01","00:00:01"
"Active","2021-03-18 06:37:02+01","2021-03-18 06:37:06+01","00:00:04"
"Intermediate","2021-03-18 06:37:06+01","2021-03-18 06:37:10+01","00:00:04"
